rid,graph_1,graph_2,cat_1,cat_2,type_cstr_1,cstr_1,type_cstr_2,cstr_2,complexite,orientation
r1205,assistariat,assister,Nm,V,suf,Xariat,NA,X,complexe,des2as
r2777,bondonnière,bonde,Nf,Nm,suf,Xonnière,NA,X,complexe,des2as
r2851,bossetier,bosse,Nm,Nf,suf,Xetier,NA,X,complexe,des2as
r3707,bécassonnier,bécasse,Nm,Nf,suf,Xonnier,NA,X,complexe,des2as
r5726,clopinettes,clope,Nf,Nf,suf,Xinettes,NA,X,complexe,des2as
r5861,cogestionnaire,cogérer,Adj,V,suf,Xionnaire,NA,X,complexe,des2as
r7019,cornetier,cor,Nm,Nm,suf,Xetier,NA,X,complexe,des2as
r7540,cropinettes,clope,Nf,Nf,suf,Xinettes,NA,X,complexe,des2as
r7549,croquillette,croquer,Nf,V,suf,Xillette,NA,X,complexe,des2as
r9351,décisionnaire,décider,Adj,V,suf,Xionnaire,NA,X,complexe,des2as
r10028,démissionnaire,démettre,Adj,V,suf,Xionnaire,NA,X,complexe,des2as
r12649,exclusionnaire,exclure,Adj,V,suf,Xionnaire,NA,X,complexe,des2as
r12664,excédentaire,excéder,Adj,V,suf,Xaire,NA,X,complexe,des2as
r12997,fanaticat,fan,Nm,Nm,suf,Xaticat,NA,X,complexe,des2as
r13230,ferretier,fer,Nm,Nm,suf,Xetier,NA,X,complexe,des2as
r13237,ferronnier,fer,Nm,Nm,suf,Xonnier,NA,X,complexe,des2as
r13395,filetier,fil,Adj,Nm,suf,Xetier,NA,X,complexe,des2as
r13396,filetier,fil,Nm,Nm,suf,Xetier,NA,X,complexe,des2as
r14477,gantilier,gant,Nm,Nm,suf,Xilier,NA,X,complexe,des2as
r14705,gestionnaire,gérer,Adj,V,suf,Xionnaire,NA,X,complexe,des2as
r15340,griffonnier,griffe,Adj,Nf,suf,Xonnier,NA,X,complexe,des2as
r15342,griffonnier,griffe,Nm,Nf,suf,Xonnier,NA,X,complexe,des2as
r16477,héroïnet,héros,Nm,Nm,suf,Xinet,NA,X,complexe,des2as
r17127,insurrectionnaire,insurger,Adj,V,suf,Xionnaire,NA,X,complexe,des2as
r17602,jarretière,jarre,Nf,Nf,suf,Xetière,NA,X,complexe,des2as
r17990,langagier,langue,Adj,Nf,suf,Xagier,NA,X,complexe,des2as
r17991,langagier,langue,Nm,Nf,suf,Xagier,NA,X,complexe,des2as
r19563,militantisme,militer,Nm,V,suf,Xisme,NA,X,complexe,des2as
r19638,minouchet,minou,Nm,Nm,suf,Xet,NA,X,complexe,des2as
r19911,montgenettes,Montgent,Nf,Npx,suf,Xettes,NA,X,complexe,des2as
r20189,musardise,muser,Nf,V,suf,Xise,NA,X,complexe,des2as
r21325,Décembrettes,décembre,Npx,Nm,suf,Xettes,NA,X,complexe,des2as
r23970,poulailler,poule,Nm,Nf,suf,Xailler,NA,X,complexe,des2as
r24990,putassier,pute,Adj,Nf,suf,Xassier,NA,X,complexe,des2as
r24991,putassier,pute,Nm,Nf,suf,Xassier,NA,X,complexe,des2as
r27133,rochassier,rocher,Adj,Nm,suf,Xassier,NA,X,complexe,des2as
r27134,rochassier,rocher,Nm,Nm,suf,Xassier,NA,X,complexe,des2as
r27552,rébellionnaire,rebeller,Adj,V,suf,Xionnaire,NA,X,complexe,des2as
r29381,soumissionnaire,soumettre,Adj,V,suf,Xionnaire,NA,X,complexe,des2as
r29440,sous-ministériat,sous-ministre,Nm,Nm,suf,Xiat,NA,X,complexe,des2as
r32768,vergetier,verge,Nm,Nf,suf,Xetier,NA,X,complexe,des2as
r32785,verminière,ver,Nf,Nm,suf,Xinière,NA,X,complexe,des2as
