dérivé,base,procédé,allomorphie?,pred=att?,m=f
âpreté,âpre,té,0,1,1
brièveté,bref,té,1,1,0
chasteté,chaste,té,0,1,1
décolleté,décolleter,PP>N,NA,NA,NA
dureté,dur,té,0,1,-1
étrangeté,étrange,té,0,1,1
fausseté,faux,té,0,1,0
fermeté,ferme,té,0,1,1
feuilleté,feuilleter,PP>N,0,1,NA
gaieté,gai,té,0,1,-1
habileté,habile,té,0,1,1
honnêteté,honnête,té,0,1,1
impureté,impur,té,0,1,-1
jeté,jeter,PP>N,0,1,NA
lâcheté,lâche,té,0,1,1
légèreté,léger,té,0,1,0
naïveté,naïf,té,0,1,0
netteté,net,té,0,1,-1
oisiveté,oisif,té,0,1,0
pauvreté,pauvre,té,0,1,1
propreté,propre,té,0,1,1
pureté,pur,té,0,1,-1
rareté,rare,té,0,1,1
sainteté,saint,té,0,1,0
saleté,sale,té,0,1,1
sûreté,sûr,té,0,1,-1
excité,exciter,PP>N,0,1,NA
exploité,exploiter,PP>N,0,1,NA
invité,inviter,PP>N,0,1,NA
absurdité,absurde,ité,0,1,1
accessibilité,accessible-ité,ité,,,
acerbité,acerbe,ité,0,1,1
acidité,acide,ité,0,1,1
activité,act-ion-if-ité,ité,,,
actualité,actuel,ité,el~al,1,-1
acuité,acu-ité,ité,,,
adaptabilité,adaptable,ité,able~abil,1,1
adiposité,adipos-ité,ité,,,
admissibilité,admissible-ité,ité,,,
adversité,adverse-ité,ité,,,
affectivité,affecter-ion-if-ité,ité,,,
affinité,affin-ité,ité,,,
agilité,agile-ité,ité,0,1,1
agressivité,agresser-ion-if-ité,ité,,,
alacrité,alacr-ité,ité,,,
alcalinité,alcalin-ité,ité,,,
altérité,altér-ité,ité,,,
amoralité,a-moral-ité,ité,,,
américanité,américain-ité,ité,,,
ancestralité,ancestral-ité,ité,,,
anfractuosité,anfractueux-ité,ité,,,
angulosité,angul-eux-ité,ité,,,
animalité,animal-ité,ité,,,
animosité,anim-eux-ité,ité,,,
anormalité,anormal-ité,ité,,,
applicabilité,applicable,ité,able~abil,1,1
aridité,aride-ité,ité,0,1,1
artificialité,artificiel,ité,el~al,1,-1
aspérité,aspér-ité,ité,,,
assiduité,assidu-ité,ité,,,
atrocité,atroce-ité,ité,0,1,1
austérité,austère-ité,ité,0,1,1
authenticité,authentique,ité,ique~ic,1,1
avidité,avide-ité,ité,0,1,1
banalité,banal-ité,ité,,,
bestialité,bestial-ité,ité,,,
biodiversité,bio-di-vers-ité,ité,,,
brutalité,brute-al-ité,ité,,,
bénignité,bénin-ité,ité,,,
caducité,caduc-ité,ité,,,
callosité,calle-eux-ité,ité,,,
capacité,capac-ité,ité,,,
captivité,captif-ité,ité,,,
catholicité,catholique,ité,ique~ic,1,1
causalité,causer-al-ité,ité,,,
causticité,caustique,ité,ique~ic,1,1
chétivité,chétif-ité,ité,,,
cinéma-vérité,cinéma-vère-ité,ité,,,
circularité,circulaire,ité,aire~ar,1,1
civilité,civil-ité,ité,,,
clandestinité,clandestin-ité,ité,,,
collectivité,collecter-ion-if-ité,ité,,,
collégialité,collégial-ité,ité,,,
combativité,combat-if-ité,ité,,,
