lid,graphie,cat,Annotations ontologiques
l11,18 brumaire,Npx,Time
l12,A.G.,Nf,Act
l13,A.G.E.,Nf,Act
l61,AL,Nf,Quantity
l69,AMM,Nf,Act+Cognition;Artifact+Cognition
l102,AS,Nf,Artifact;Person
l139,Abainville,Npx,Institution
l140,Abainvillois,Nm,Person
l141,Abainvilloise,Nf,Person
l144,Abaucourt,Npx,Institution
l150,Abbecourtoise,Nf,Person
l152,Abbeville,Npx,Institution
l154,Abbevillien,Nm,Person
l155,Abbevillois,Nm,Person
l158,Abbécourtois,Nm,Person
l159,Abbécourtoise,Nf,Person
l234,Aboncourtois,Nm,Person
l235,Aboncourtoise,Nf,Person
l259,Abreschvillois,Nm,Person
l260,Abreschvilloise,Nf,Person
l326,Acervillerois,Nm,Person
l327,Acervilleroise,Nf,Person
l328,Acervillois,Nm,Person
l329,Acervilloise,Nf,Person
l350,Acheville,Npx,Institution
l351,Achevillois,Nm,Person
l352,Achevilloise,Nf,Person
l360,Achicourtois,Nm,Person
l361,Achicourtoise,Nf,Person
l411,Acquevillais,Nm,Person
l412,Acquevillaise,Nf,Person
l413,Acqueville,Npx,Institution
l444,Adaincourt,Npx,Institution
l445,Adainville,Npx,Institution
l446,Adainvillois,Nm,Person
l447,Adainvilloise,Nf,Person
l448,Adam,Npm,Person
l454,Adamswillerois,Nm,Person
l455,Adamswilleroise,Nf,Person
l499,Administration,Nf,Act;Institution
l546,Affléville,Npx,Institution
l553,Affranchi,Nm,Person
l561,Afghanistan,Npx,Institution
l572,Afrique,Npx,Object
l597,Agathe,Npf,Person
l609,Agencourtois,Nm,Person
l610,Agencourtoise,Nf,Person
l615,Agenville,Npx,Institution
l616,Agenvillerois,Nm,Person
l617,Agenvilleroise,Nf,Person
l618,Agenvillers,Npx,Institution
l619,Agenvillois,Nm,Person
l620,Agenvilloise,Nf,Person
l625,Ageville,Npx,Institution
l626,Agevillois,Nm,Person
l627,Agevilloise,Nf,Person
l639,Agincourtois,Nm,Person
l640,Agincourtoise,Nf,Person
l681,Agon-Coutainville,Npx,Institution
l713,Aguilcourtois,Nm,Person
l714,Aguilcourtoise,Nf,Person
l738,Ahéville,Npx,Institution
l739,Ahévillois,Nm,Person
l740,Ahévilloise,Nf,Person
l758,Aigleville,Npx,Institution
l759,Aiglevillois,Nm,Person
l760,Aiglevilloise,Nf,Person
l773,Aignervillais,Nm,Person
l774,Aignervillaise,Nf,Person
l775,Aignerville,Npx,Institution
l777,Aigneville,Npx,Institution
l778,Aignevillois,Nm,Person
l779,Aignevilloise,Nf,Person
l869,Ailleville,Npx,Institution
l870,Aillevillerois,Nm,Person
l871,Aillevilleroise,Nf,Person
l873,Aillevillois,Nm,Person
l874,Aillevilloise,Nf,Person
l875,Aillianville,Npx,Institution
l876,Aillianvillois,Nm,Person
l877,Aillianvilloise,Nf,Person
l902,Ainay-le-Château,Npx,Institution
l903,Aincourt,Npx,Institution
l904,Aincourtois,Nm,Person
l905,Aincourtoise,Nf,Person
l914,Aingeville,Npx,Institution
l915,Aingevillois,Nm,Person
l916,Aingevilloise,Nf,Person
l917,Aingoulaincourt,Npx,Institution
l918,Aingoulaincourtois,Nm,Person
l919,Aingoulaincourtoise,Nf,Person
l932,Aire-la-Ville,Npx,Institution
l956,Aiseau,Npx,Institution
l968,Aisonville-et-Bernoville,Npx,Institution
l969,Aisy-sous-Thil,Npx,Institution
l982,Aix-les-Bains,Npx,Institution
l989,Aizanville,Npx,Institution
l990,Aizanvillois,Nm,Person
l991,Aizanvilloise,Nf,Person
l1043,Alaincourt,Npx,Institution
l1044,Alaincourtois,Nm,Person
l1045,Alaincourtoise,Nf,Person
l1049,Alaman,Nm,Person
l1071,Albanais,Nm,Communication;Person
l1122,Albertville,Npx,Institution
l1123,Albertvillois,Nm,Person
l1124,Albertvilloise,Nf,Person
l1227,Alet-les-Bains,Npx,Institution
l1260,Alfortvillais,Nm,Person
l1261,Alfortvillaise,Nf,Person
l1262,Alfortville,Npx,Institution
l1299,Alincourtois,Nm,Person
l1300,Alincourtoise,Nf,Person
l1327,Allainville,Npx,Institution
l1328,Allainvillois,Nm,Person
l1329,Allainvilloise,Nf,Person
l1346,Allas-les-Mines,Npx,Institution
l1391,Allennes-les-Marais,Npx,Institution
l1406,Alles-sur-Dordogne,Npx,Institution
l1431,Alliance,Npx,Institution
l1478,Allonville,Npx,Institution
l1479,Allonvillois,Nm,Person
l1480,Allonvilloise,Nf,Person
l1498,Allouvillais,Nm,Person
l1499,Allouvillaise,Nf,Person
l1516,Allègre-les-Fumades,Npx,Institution
l1527,Alma,Npx,Act;Institution;Object
l1532,Almavillois,Nm,Person
l1542,Almont-les-Junies,Npx,Institution
l1595,Alsacien,Nm,Communication;Person
l1616,Altavillois,Nm,Person
l1617,Altavilloise,Nf,Person
l1628,Alteravillois,Nm,Person
l1629,Alteravilloise,Nf,Person
l1630,Althavillais,Nm,Person
l1631,Althavillaise,Nf,Person
l1658,Altivillerois,Nm,Person
l1659,Altivilleroise,Nf,Person
l1677,Altvillerois,Nm,Person
l1678,Altvilleroise,Nf,Person
l1723,Alémanie,Npx,Artifact
l1762,Amandine,Npf,Person
l1772,Amanvillers,Npx,Institution
l1773,Amanvillois,Nm,Person
l1774,Amanvilloise,Nf,Person
l1849,Ambillou-Château,Npx,Institution
l1853,Ambiévillers,Npx,Institution
l1854,Amblainville,Npx,Institution
l1855,Amblainvillois,Nm,Person
l1856,Amblainvilloise,Nf,Person
l1864,Ambleville,Npx,Institution
l1865,Amblevillois,Nm,Person
l1866,Amblevilloise,Nf,Person
l1894,Ambonville,Npx,Institution
l1895,Ambonvillois,Nm,Person
l1896,Ambonvilloise,Nf,Person
l1904,Ambricourtois,Nm,Person
l1905,Ambricourtoise,Nf,Person
l1911,Ambrières-les-Vallées,Npx,Institution
l1942,Amenucourtais,Nm,Person
l1943,Amenucourtaise,Nf,Person
l1952,Amfrevillais,Nm,Person
l1953,Amfrevillaise,Nf,Person
l1954,Amfreville,Npx,Institution
l1957,Amfreville-les-Champs,Npx,Institution
l1958,Amfreville-sous-les-Monts,Npx,Institution
l1995,Amnéville,Npx,Institution
l1996,Amnévillois,Nm,Person
l1997,Amnévilloise,Nf,Person
l2005,Amoncourtois,Nm,Person
l2006,Amoncourtoise,Nf,Person
l2038,Ampilly-les-Bordes,Npx,Institution
l2048,Amponville,Npx,Institution
l2049,Amponvillois,Nm,Person
l2050,Amponvilloise,Nf,Person
l2076,Amélie-les-Bains,Npx,Institution
l2079,Américain,Nm,Communication;Food;Person
l2112,Anceaumevillais,Nm,Person
l2113,Anceaumevillaise,Nf,Person
l2114,Anceaumeville,Npx,Institution
l2127,Ancerville,Npx,Institution
l2128,Ancervillois,Nm,Person
l2129,Ancervilloise,Nf,Person
l2155,Ancourtais,Nm,Person
l2156,Ancourtaise,Nf,Person
l2157,Ancourtevillais,Nm,Person
l2158,Ancourtevillaise,Nf,Person
l2160,Ancretiévillais,Nm,Person
l2161,Ancretiévillaise,Nf,Person
l2163,Ancrettevillais,Nm,Person
l2164,Ancrettevillaise,Nf,Person
l2166,Ancteville,Npx,Institution
l2167,Anctovillais,Nm,Person
l2168,Anctovillaise,Nf,Person
l2169,Anctoville,Npx,Institution
l2186,Andainville,Npx,Institution
l2187,Andalou,Nm,Animal;Communication;Person;
l2216,Andelot-Blancheville,Npx,Institution
l2243,Andeville,Npx,Institution
l2244,Andevillien,Nm,Person
l2245,Andevillienne,Nf,Person
l2276,Andonville,Npx,Institution
l2277,Andonvillois,Nm,Person
l2278,Andonvilloise,Nf,Person
l2293,Andouillé-Neuville,Npx,Institution
l2383,Angervillais,Nm,Person
l2384,Angervillaise,Nf,Person
l2385,Angerville,Npx,Institution
l2393,Angervillois,Nm,Person
l2394,Angervilloise,Nf,Person
l2396,Angeville,Npx,Institution
l2397,Angevillers,Npx,Institution
l2398,Angevillois,Nm,Person
l2399,Angevilloise,Nf,Person
l2404,Angicourtois,Nm,Person
l2405,Angicourtoise,Nf,Person
l2424,Angle,Nf,Cognition;PartxArtifact;Quantity
l2431,Angles-sur-l'Anglin,Npx,Institution
l2435,Anglesquevillais,Nm,Person
l2436,Anglesquevillaise,Nf,Person
l2445,Angliche,Nf,Person
l2457,Anglure-sous-Dun,Npx,Institution
l2462,Angluzelles-et-Courcelles,Npx,Institution
l2497,Angovillais,Nm,Person
l2498,Angovillaise,Nf,Person
l2499,Angoville,Npx,Institution
l2504,Angreau,Npx,Institution
l2518,Anguilcourtois,Nm,Person
l2519,Anguilcourtoise,Nf,Person
l2525,Angèle,Npf,Person
l2557,Anizy-le-Château,Npx,Institution
l2590,Annamite,Nf,Person
l2592,Annavillois,Nm,Person
l2593,Annavilloise,Nf,Person
l2599,Anne,Npf,Person
l2633,Annette,Npf,Person
l2637,Annevillais,Nm,Person
l2638,Annevillaise,Nf,Person
l2639,Anneville-Ambourville,Npx,Institution
