rid,lid_1,graph_1,lid_2,graph_2,cat_1,cat_2,type_cstr_1,cstr_1,type_cstr_2,cstr_2,complexite,orientation
r234,l101357,antidater,l101356,antidate,V,Nf,conv,X,NA,X,simple,des2as
r809,l104132,arbitrer,l104130,arbitre,V,Nf,conv,X,conv,X,simple,NA
r1091,l106798,ascendre,l106812,ascente,V,Nf,conv,X,conv,X,simple,NA
r1096,l106805,ascensionner,l106800,ascension,V,Nf,conv,X,NA,X,simple,des2as
r1230,l107512,assonancer,l107511,assonance,V,Nf,conv,X,NA,X,simple,des2as
r1330,l108285,atrophier,l108283,atrophie,V,Nf,conv,X,NA,X,simple,des2as
r1352,l108370,atteindre,l108372,atteinte,V,Nf,conv,X,conv,X,simple,NA
r1358,l108389,attendre,l108403,attente,V,Nf,conv,X,conv,X,simple,NA
r1364,l108410,attentionner,l108406,attention,V,Nf,conv,X,NA,X,simple,des2as
r1422,l108683,aubader,l108682,aubade,V,Nf,conv,X,NA,X,simple,des2as
r1450,l109127,auditionner,l109125,audition,V,Nf,conv,X,NA,X,simple,des2as
r1538,l111118,autographier,l111117,autographie,V,Nf,conv,X,NA,X,simple,des2as
r1867,l114401,balader,l114400,balade,V,Nf,conv,X,NA,X,simple,des2as
r2010,l115419,bannir,l115113,ban,V,Nf,conv,X,conv,X,simple,NA
r2149,l116535,barricader,l116533,barricade,V,Nf,conv,X,NA,X,simple,des2as
r2511,l122662,biographier,l122661,biographie,V,Nf,conv,X,NA,X,simple,des2as
r2574,l123401,biter,l123397,bite,V,Nf,conv,X,conv,X,simple,NA
r2581,l123457,bituminer,l123463,bitumisation,V,Nf,conv,X,suf,Xion,complexe,NA
r2826,l126334,bordurer,l126332,bordure,V,Nf,conv,X,NA,X,simple,des2as
r2899,l127007,boucher,l126990,bouche,V,Nf,conv,X,conv,X,simple,NA
r2938,l127236,bouffarder,l127235,bouffarde,V,Nf,conv,X,NA,X,simple,des2as
r3077,l128383,bourrader,l128382,bourrade,V,Nf,conv,X,NA,X,simple,des2as
r3142,l128772,bouteroller,l128771,bouterolle,V,Nf,conv,X,NA,X,simple,des2as
r3156,l128868,bouturer,l128867,bouture,V,Nf,conv,X,NA,X,simple,des2as
r3359,l130823,brillantiner,l130822,brillantine,V,Nf,conv,X,NA,X,simple,des2as
r3382,l131044,briqueter,l131050,briquette,V,Nf,conv,X,NA,X,simple,des2as
