rid,graph_1,graph_2,cat_1,cat_2,type_cstr_1,cstr_1,type_cstr_2,cstr_2,complexite,orientation
r79173,particularisme,partie,Nm,Nf,suf,Xularisme,NA,X,motiv-sem,des2as
r77776,conceptualisme,concept,Nm,Nm,suf,Xualisme,NA,X,motiv-sem,des2as
r78437,individualisme,individu,Nm,Nm,suf,Xualisme,NA,X,motiv-sem,des2as
r78469,intellectualisme,intelligence,Nm,Nf,suf,Xualisme,NA,X,motiv-sem,des2as
r79511,ritualisme,rite,Nm,Nm,suf,Xualisme,NA,X,motiv-sem,des2as
r79613,sensualisme,sens,Nm,Nm,suf,Xualisme,NA,X,motiv-sem,des2as
r79691,spiritualisme,esprit,Nm,Nm,suf,Xualisme,NA,X,motiv-sem,des2as
r79848,textualisme,texte,Nm,Nm,suf,Xualisme,NA,X,motiv-sem,des2as
r79187,patriotisme,patrie,Nm,Nm,suf,Xotisme,NA,X,motiv-sem,des2as
r77454,berrichonnisme,Berry,Nm,Npx,suf,Xonnisme,NA,X,motiv-sem,des2as
r77529,bourguignonisme,Bourgogne,Nm,Npx,suf,Xonisme,NA,X,motiv-sem,des2as
r77538,bretonisme,Bretagne,Nm,Npx,suf,Xonisme,NA,X,motiv-sem,des2as
r78007,espagnolisme,Espagne,Nm,Npx,suf,Xolisme,NA,X,motiv-sem,des2as
r77711,chinoisisme,Chine,Nm,Npx,suf,Xoisisme,NA,X,motiv-sem,des2as
r77977,déconstructivisme,déconstruire,Nm,V,suf,Xivisme,NA,X,motiv-sem,des2as
r79034,négativisme,nier,Nm,V,suf,Xivisme,NA,X,motiv-sem,des2as
r79544,réductivisme,réduire,Nm,V,suf,Xivisme,NA,X,motiv-sem,des2as
r80166,évolutivisme,évoluer,Nm,V,suf,Xivisme,NA,X,motiv-sem,des2as
r78886,moscovitisme,Moscou,Nm,Npx,suf,Xitisme,NA,X,motiv-sem,des2as
r77770,communitarisme,communauté,Nm,Nf,suf,Xitarisme,NA,X,motiv-sem,des2as
r43132,catabolisme,catabolite,Nm,Nm,suf,Xisme,suf,Xite,motiv-sem,indirect
