rid,graph_1,graph_2,cat_1,cat_2,type_cstr_1,cstr_1,type_cstr_2,cstr_2,complexite,orientation
r64,antalgique,douleur,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r74,anthelmintique,helminthe,Adj,Nm,pre-suf,antiXique,NA,X,motiv-sem,des2as
r102,anti-américain,Amérique,Adj,Npx,pre-suf,antiXain,NA,X,motiv-sem,des2as
r105,anti-aérien,attaque aérienne,Adj,Nf,pre-suf,antiXien,NA,X,motiv-sem,des2as
r118,anti-inflationniste,inflation,Adj,Nf,pre-suf,antiXiste,NA,X,motiv-sem,des2as
r124,anti-patriotique,patrie,Adj,Nf,pre-suf,antiXotique,NA,X,motiv-sem,des2as
r125,anti-patriotique,patriote,Adj,Nm,pre-suf,antiXique,NA,X,motiv-sem,des2as
r130,anti-scientifique,science,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r141,antiallergique,allergie,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r144,antiamaril,fièvre jaune,Adj,Nf,pre-suf,antiXil,NA,X,motiv-sem,des2as
r146,antiamibien,amibe,Adj,Nf,pre-suf,antiXien,NA,X,motiv-sem,des2as
r150,antiapoplectique,apoplexie,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r151,antiarthritique,arthrite,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r155,antiatomique,atome,Adj,Nm,pre-suf,antiXique,NA,X,motiv-sem,des2as
r156,antiautoritaire,autorité,Adj,Nf,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r157,antiaérien,attaque aérienne,Adj,Nf,pre-suf,antiXien,NA,X,motiv-sem,des2as
r161,anticancéreux,cancer,Adj,Adj,pre-suf,antiXeux,NA,X,motiv-sem,des2as
r162,anticapitaliste,capital,Adj,Nm,pre-suf,antiXiste,NA,X,motiv-sem,des2as
r168,anticholérique,choléra,Adj,Nm,pre-suf,antiXique,NA,X,motiv-sem,des2as
r187,anticolonial,colonie,Adj,Nf,pre-suf,antiXal,NA,X,motiv-sem,des2as
r192,anticommercial,commerce,Adj,Nm,pre-suf,antiXal,NA,X,motiv-sem,des2as
r198,anticoncordataire,concordat,Adj,Nm,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r201,anticoncordataire,concordat,Nm,Nm,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r204,anticonjoncturel,conjoncture,Adj,Nf,pre-suf,antiXel,NA,X,motiv-sem,des2as
r206,anticonstitutionnaire,constitution,Adj,Nf,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r207,anticonstitutionnaire,constitution,Nm,Nf,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r214,anticoquelucheux,coqueluche,Adj,Nf,pre-suf,antiXeux,NA,X,motiv-sem,des2as
r218,anticryptogamique,cryptogamie,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r224,anticyclonal,cyclone,Adj,Nm,pre-suf,antiXal,NA,X,motiv-sem,des2as
r227,anticyclonique,cyclone,Adj,Nm,pre-suf,antiXique,NA,X,motiv-sem,des2as
r230,antidartreux,dartre,Adj,Nf,pre-suf,antiXeux,NA,X,motiv-sem,des2as
r235,antidiphtérique,diphtérie,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r237,antidiurétique,diurèse,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r244,antidreyfusard,Dreyfus,Adj,Npx,pre-suf,antiXard,NA,X,motiv-sem,des2as
r259,antiesclavagiste,esclavage,Adj,Nm,pre-suf,antiXiste,NA,X,motiv-sem,des2as
r267,antifongique,champignon,Adj,Nm,pre-suf,antiXique,NA,X,motiv-sem,des2as
r270,antifracturaire,fracture,Adj,Nf,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r274,antifébrile,fièvre,Adj,Nf,pre-suf,antiXile,NA,X,motiv-sem,des2as
r283,antigaulliste,De Gaulle,Adj,Npx,pre-suf,antiXiste,NA,X,motiv-sem,des2as
r286,antigoutteux,goutte,Adj,Nf,pre-suf,antiXeux,NA,X,motiv-sem,des2as
r288,antigouvernemental,gouvernement,Adj,Nm,pre-suf,antiXal,NA,X,motiv-sem,des2as
r295,antigrippal,grippe,Adj,Nf,pre-suf,antiXal,NA,X,motiv-sem,des2as
r299,antigénique,gène,Adj,Nm,pre-suf,antiXique,NA,X,motiv-sem,des2as
r316,antilithique,calcul,Adj,Nm,pre-suf,antiXique,NA,X,motiv-sem,des2as
r320,antimarxiste,Marx,Adj,Npx,pre-suf,antiXiste,NA,X,motiv-sem,des2as
r326,antimilitariste,militaire,Adj,Nm,pre-suf,antiXiste,NA,X,motiv-sem,des2as
r331,antiministériel,ministre,Adj,Nm,pre-suf,antiXériel,NA,X,motiv-sem,des2as
r332,antiministériel,ministère,Adj,Nm,pre-suf,antiXel,NA,X,motiv-sem,des2as
r335,antimitotique,mitose,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r338,antimonacal,moine,Adj,Nm,pre-suf,antiXal,NA,X,motiv-sem,des2as
r340,antimonarchique,monarchie,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r344,antimycosique,mycose,Adj,Nm,pre-suf,antiXique,NA,X,motiv-sem,des2as
r349,antinational,nation,Adj,Nf,pre-suf,antiXal,NA,X,motiv-form,des2as
r351,antinationaliste,nation,Adj,Nf,pre-suf,antiXaliste,NA,X,motiv-sem,des2as
r357,antinucléaire,énergie nucléaire,Adj,Nf,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r359,antinévralgique,névralgie,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r368,antipapiste,pape,Adj,Nm,pre-suf,antiXiste,NA,X,motiv-sem,des2as
r375,antiparasitaire,parasite,Adj,Nm,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r378,antiparasitaire,parasite,Nm,Nm,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r381,antiparkinsonien,parkinson,Adj,Nm,pre-suf,antiXien,NA,X,motiv-sem,des2as
r384,antiparlementaire,parlement,Adj,Nm,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r387,antiparlementaire,parlement,Nm,Nm,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r389,antipatriote,patrie,Adj,Nf,pre-suf,antiXote,NA,X,motiv-sem,des2as
