rid,graph_1,graph_2,cat_1,cat_2,type_cstr_1,cstr_1,type_cstr_2,cstr_2,complexite,orientation
r10,annihilateur,annihilation,Nm,Nf,suf,Xeur,suf,Xion,simple,indirect
r11,annihilateur,annihilement,Nm,Nm,suf,Xeur,suf,Xment,simple,indirect
r13,annihilation,annihilement,Nf,Nm,suf,Xion,suf,Xment,simple,indirect
r22,annonciateur,annonciation,Nm,Nf,suf,Xeur,suf,Xion,simple,indirect
r23,annonciateur,annonciatrice,Nm,Nf,suf,Xeur,suf,Xrice,simple,indirect
r25,annonciation,annonciatrice,Nf,Nf,suf,Xion,suf,Xrice,simple,indirect
r38,annulatif,annulation,Adj,Nf,suf,Xif,suf,Xion,simple,indirect
r112,anti-impérialiste,impérialisme,Adj,Nm,pre-suf,antiXiste,suf,Xisme,simple,indirect
r115,anti-infectieux,infection,Adj,Nf,pre-suf,antiXeux,suf,Xion,simple,indirect
r311,antiimpérialiste,impérialisme,Adj,Nm,pre-suf,antiXiste,suf,Xisme,simple,indirect
r329,antiministérialiste,ministérialisme,Adj,Nm,pre-suf,antiXisme,suf,Xisme,simple,indirect
r521,antiterroriste,terrorisme,Adj,Nm,pre-suf,antiXiste,suf,Xisme,simple,indirect
r582,aoûtement,aoûteur,Nm,Nm,suf,Xment,suf,Xeur,simple,indirect
r595,aperceptif,aperception,Adj,Nf,suf,Xif,suf,Xion,simple,indirect
r613,aplaigneur,aplaigneuse,Nm,Nf,suf,Xeur,suf,Xeuse,simple,indirect
r616,aplaneur,aplaneuse,Nm,Nf,suf,Xeur,suf,Xeuse,simple,indirect
r620,aplanissement,aplanisseur,Nm,Nm,suf,Xment,suf,Xeur,simple,indirect
r621,aplanissement,aplanisseuse,Nm,Nf,suf,Xment,suf,Xeuse,simple,indirect
r623,aplanisseur,aplanisseuse,Nm,Nf,suf,Xeur,suf,Xeuse,simple,indirect
r627,aplatissage,aplatissement,Nm,Nm,suf,Xage,suf,Xment,simple,indirect
r628,aplatissage,aplatisseur,Nm,Nm,suf,Xage,suf,Xeur,simple,indirect
r630,aplatissement,aplatisseur,Nm,Nm,suf,Xment,suf,Xeur,simple,indirect
r651,apothicaire,apothicat,Nm,Nm,suf,Xaire,suf,Xat,simple,indirect
r658,appareillage,appareillement,Nm,Nm,suf,Xage,suf,Xment,simple,indirect
r660,appareillage,appareilleur,Nm,Nm,suf,Xage,suf,Xeur,simple,indirect
r661,appareillage,appareilleuse,Nm,Nf,suf,Xage,suf,Xeuse,simple,indirect
r663,appareillement,appareilleur,Nm,Nm,suf,Xment,suf,Xeur,simple,indirect
r664,appareillement,appareilleuse,Nm,Nf,suf,Xment,suf,Xeuse,simple,indirect
r667,appareilleur,appareilleuse,Nm,Nf,suf,Xeur,suf,Xeuse,simple,indirect
r669,apparentage,apparentement,Nm,Nm,suf,Xage,suf,Xment,simple,indirect
r685,appellatif,appellation,Adj,Nf,suf,Xif,suf,Xion,simple,indirect
r692,applaudissement,applaudisseur,Nm,Nm,suf,Xment,suf,Xeur,simple,indirect
r695,applicateur,application,Nm,Nf,suf,Xeur,suf,Xion,simple,indirect
r702,appointage,appointement,Nm,Nm,suf,Xage,suf,Xment,simple,indirect
r710,apporteur,apporteuse,Nm,Nf,suf,Xeur,suf,Xeuse,simple,indirect
r717,apprivoisement,apprivoiseur,Nm,Nm,suf,Xment,suf,Xeur,simple,indirect
r719,approbateur,approbation,Nm,Nf,suf,Xeur,suf,Xion,simple,indirect
r720,approbateur,approbatrice,Nm,Nf,suf,Xeur,suf,Xrice,simple,indirect
r723,approbation,approbatrice,Nf,Nf,suf,Xion,suf,Xrice,simple,indirect
