rid,graph_1,lid_2,graph_2,cat_1,cat_2,type_cstr_1,cstr_1,type_cstr_2,cstr_2,complexite,orientation
r47,anonymat,l100313,anonyme,Nm,Nm,suf,Xat,NA,X,simple,des2as
r366,antipapat,l101800,antipape,Nm,Nm,suf,Xat,NA,X,simple,des2as
r450,antiquariat,l101970,antiquaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r593,apatridat,l102696,apatride,Nm,Nm,suf,Xat,NA,X,simple,des2as
r647,apostolat,l103700,apôtre,Nm,Nm,suf,Xat,NA,X,simple,des2as
r650,apothicairat,l103176,apothicaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r652,apothicariat,l103176,apothicaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r676,apparitorat,l103259,appariteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r677,apparitoriat,l103259,appariteur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r715,apprentissariat,l103428,apprenti,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r805,arbitrariat,l104131,arbitre,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r806,arbitrat,l104131,arbitre,Nm,Nm,suf,Xat,NA,X,simple,des2as
r810,arbitrorat,l104131,arbitre,Nm,Nm,suf,Xorat,NA,X,simple,des2as
r839,archicapellanat,l104434,archichapelain,Nm,Nm,suf,Xat,NA,X,simple,des2as
r840,archidiaconat,l104446,archidiacre,Nm,Nm,suf,Xat,NA,X,simple,des2as
r841,archiducat,l104450,archiduc,Nm,Nm,suf,Xat,NA,X,simple,des2as
r842,archimandritat,l104486,archimandrite,Nm,Nm,suf,Xat,NA,X,simple,des2as
r843,archipresbytérat,l104512,archiprêtre,Nm,Nm,suf,Xat,NA,X,simple,des2as
r844,archiprésulat,l104399,archevêque,Nm,Nm,suf,Xat,NA,X,simple,des2as
r846,architectorat,l104519,architecte,Nm,Nm,suf,Xorat,NA,X,simple,des2as
r851,archivariat,l104549,archivaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r852,archivariat,l104554,archives,Nm,Nf,suf,Xariat,NA,X,simple,des2as
r853,archivat,l104554,archives,Nm,Nf,suf,Xat,NA,X,simple,des2as
r860,archiépiscopat,l104399,archevêque,Nm,Nm,suf,Xat,NA,X,simple,des2as
r861,archontat,l104572,archonte,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1056,artisanat,l106436,artisan,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1057,artistanat,l106453,artiste,Nm,Nm,suf,Xanat,NA,X,simple,des2as
r1058,artisticat,l106453,artiste,Nm,Nm,suf,Xicat,NA,X,motiv-sem,des2as
r1102,asiarcat,l106937,asiarque,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1103,asiarchat,l106937,asiarque,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1132,aspiranat,l107134,aspirant,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1133,aspirantat,l107134,aspirant,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1148,assassinat,l107258,assassiner,Nm,V,conv,X,NA,X,simple,des2as
r1176,assesseurat,l107329,assesseur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1177,assessorat,l107329,assesseur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1178,assessoriat,l107329,assesseur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r1183,assignat,l107384,assigner,Nm,V,conv,X,NA,X,simple,des2as
r1201,assistanat,l107430,assistant,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1204,assistantat,l107430,assistant,Nm,Nm,suf,Xat,NA,X,simple,des2as
r1205,assistariat,l107435,assister,Nm,V,suf,Xariat,NA,X,complexe,des2as
